BristolIDHH150	NewTTYork
Savannah	Norfolk
Memphis	StTTPollen
PutnamTTValley	Elmira
Chandrapur	NodeIDGH97
Bari	Gaya
Benningtown	Hamilton
Burdett	Corning
Zurich	Sonipat
Allahabad	Lucknow
Altmar	Cologne
NodeIDGG123	Salamanca
Brescia	Wardha
Margaretsville	Palermo
SouthTTCanaan	Gainesville
NodeIDGH111	Dothan
Mysore	Stockholm
Alexandria	Harriman
Poitiers	Biel_Bienne
MonroeIDGH21	Raipur
Mobile	Tampa
Sylva	Houston
Valsad	Goa
Canton	JacksonIDGH91
LakeTTCharles	NodeIDGG92
Liege	Bhopal
Himmatnagar	NodeIDGG31
Brussels	Genova
Dijon	Raleigh
Newnah	Gloversville
Ludhiana	Manchester
Rimini	NodeIDGG30
Callicut	Zug
Akola	Meerut
BarreIDGG104	Chazy
NodeIDGG22	Dhar
Wilmington	Anderlecht
Allepey	Winooski
Chicago	Rowland
Bokaro	Nasik
NodeIDGG24	Borgomanero
Jhansi	Ogdensburg
Lugano	Utica
Jacksonville	Damoh
Meridian	Firenze
Reading	Newnah
Raichur	Belgaum
Newport	AlexanderTTCity
Kanchipuram	Geneve
Ghaziabad	Rochester
