NodeIDH89	NodeIDH96
Almond	OdessaIDH48
Dijon	Marseille
Olean	OdessaIDH48
Dusseldorf	NodeIDH21
EmpireTTTelephoneTTCo	Brussels
Strasbourg	Baltimore
Miami	Auburn
Providence	Toledo
Lebanon	Pulaski
NodeIDH24	Wellsville
NodeIDH96	Fredonia
OrangeTTCounty	Baltimore
NewTTYorkTTCity	Manchester
Avila	Nuremberg
Newcastle	SaranacTTLake
Luxembourg	Whitesville
Canton	Valencia
Frankfurt	Altmar
Mountpelier	Madrid
StTTLouis	Middleburgh
Alfred	Nice
Amsterdam	SanTTFrancisco
Middleburgh	Tampa
Florence	Caen
Middlebury	Tampa
Nuremberg	Varna
NodeIDH91	Barcelona
Zaragoza	LosTTAngeles
AlbanyIDH64	London
Tallinn	Leon
Omaha	NodeIDH110
Charlotte	Waterloo
Olean	Miami
Cincinnati	Ogdensburg
NodeIDH30	Salamanca
Jamestown	Logrono
NodeIDH21	Bologna
Stamford	Wellsville
Stuttgart	Malone
OrangeTTCounty	Nashville
Coxsackie	Worcester
NodeIDH123	Rowland
SanTTAntonio	Malone
Rowland	EssexTTJunction
Bern	Hamilton
Barcelona	NodeIDH110
Bordeaux	Buffalo
Ingleside	Gouveneur
Portland	Jamestown
