Palermo	TheTTHague
Florence	Lisbon
Luxembourg	Dresden
Melbourne	NewTTYork
Leuven	Arab
Knoxville	Stockholm
Manchester	BatonTTRouge
Krakov	Orlando
Aarhus	Washington
Napoli	Lagrange
WestTTPalmTTBeach	Ashville
Lafayette	Hattiesburg
RockyTTMount	Augusta
Dallas	Luxembourg
Catania	NodeIDH103
Treviso	NodeIDH85
Opelika	GainesvilleIDH15
Meridian	SauntTTAugustine
Bologna	Rouen
Utrecht	Malmo
MyrtleTTBeach	Leuven
Monza	Hollywood
Lafayette	Alexandria
Huntsville	Ghent
NodeIDH85	Munich
NodeIDH99	Nyon
Trento	Jackson
Savannah	Arab
Orangeburg	VeroTTBeach
Amsterdam	Berlin
Hamburg	PineTTBluff
Salzburg	NodeIDH100
Chiasso	Essen
AlexanderTTCity	Macon
Zurich	Lille
Nyon	NodeIDH112
Fayatteville	Kortnijk
Rimini	Varese
Varese	Grenoble
Utrecht	Bratislava
Rimini	Ostend
Parma	Cuneo
Trieste	FortTTLauderdale
Dresden	Nantes
NodeIDH99	Cologne
Norfolk	WestTTPoint
Eindhoven	Livorno
Winterthur	Graz
Beaumont	Porto
Vicenza	Sassari
